,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
3428,"Pentafunctional arom protein, catalyzes steps 2 through 6 in the biosynthesis of chorismate, which is a precursor to aromatic amino acids",metabolic process,cytoplasm,nucleotide binding,ARO1,YDR127W
3429,Transporter of the ATP-binding cassette (ABC) family involved in bile acid transport; similar to mammalian bile transporters,transport,fungal-type vacuole,nucleotide binding,YBT1,YLL048C
3430,"Phosphatidylinositol transfer protein (PITP), downregulates Plb1p-mediated turnover of phosphatidylcholine, found in the cytosol and microsomes, homologous to Pdr16p, deletion affects phospholipid composition",phosphatidylserine metabolic process,cytoplasm,phosphatidylcholine transporter activity,PDR17,YNL264C
3431,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Bp and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality",cytoplasmic translation,intracellular,structural constituent of ribosome,RPL31A,YDL075W
3432,"Syntaxin-like t-SNARE that forms a complex with Tlg1p and Vti1p and mediates fusion of endosome-derived vesicles with the late Golgi; binds Vps45p, which prevents Tlg2p degradation and also facilitates t-SNARE complex formation; homologous to mammalian SNARE protein syntaxin 16 (Sx16)",inositolphosphoceramide metabolic process,endosome,SNARE binding,TLG2,YOL018C
3433,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; phosphorylated in response to alpha factor,biological_process unknown,cytoplasm,molecular_function unknown,RCN2,YOR220W
3434,Putative protein of unknown function,biological_process unknown,cellular_component unknown,molecular_function unknown,YLR053C,YLR053C
3435,Putative protein of unknown function,biological_process unknown,cellular_component unknown,molecular_function unknown,YPR203W,YPR203W
3436,Putative metalloprotease,biological_process unknown,cytoplasm,molecular_function unknown,SDD3,YOL098C
3437,Putative protein of unknown function with similarity to helicases; YLR462W is within the telomere on the right arm of chromosome XII,biological_process unknown,cellular_component unknown,molecular_function unknown,YLR462W,YLR462W
3438,"Peroxisomal integral membrane protein, involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p",peroxisome organization,peroxisome,molecular_function unknown,PEX30,YLR324W
3439,"Subunit of the 26S proteasome, substrate of the N-acetyltransferase Nat1p",ubiquitin-dependent protein catabolic process,proteasome complex,endopeptidase activity,RPN2,YIL075C
3440,Protein of unknown function; expression is induced over 100-fold by DNA damage; induction decreased in rad6 and rad18 mutants,biological_process unknown,cellular_component unknown,molecular_function unknown,DDI3,YNL335W
3441,"Mitochondrial cell death effector that translocates to the nucleus in response to apoptotic stimuli, homolog of mammalian Apoptosis-Inducing Factor, putative reductase",response to singlet oxygen,nucleus,NAD(P)H dehydrogenase (quinone) activity,AIF1,YNR074C
3442,"Meiosis-specific protein, involved in maintaining sister chromatid cohesion during meiosis I as well as promoting proper attachment of kinetochores to the spindle during meiosis I and meiosis II",sporulation resulting in formation of a cellular spore,"condensed nuclear chromosome, centromeric region",molecular_function unknown,SPO13,YHR014W
3443,"Protein of unknown function, required for survival upon exposure to K1 killer toxin; involved in proteasome-dependent catabolite inactivation of FBPase; contains CTLH domain; plays role in anti-apoptosis",protein ubiquitination involved in ubiquitin-dependent protein catabolic process,nucleus,ubiquitin-protein transferase activity,FYV10,YIL097W
3444,"Ubiquitin-specific protease situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains; works in opposition to Hul5p polyubiquitin elongation activity; mutant has aneuploidy tolerance",proteolysis,proteasome complex,thiol-dependent ubiquitin-specific protease activity,UBP6,YFR010W
3445,"One of two (see also PSK1) PAS domain containing S/T protein kinases; regulates sugar flux and translation in response to an unknown metabolite by phosphorylating Ugp1p and Gsy2p (sugar flux) and Caf20p, Tif11p and Sro9p (translation)",regulation of translation,cytoplasm,nucleotide binding,PSK2,YOL045W
3446,"Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; interacts physically and genetically with Prp19p","mRNA splicing, via spliceosome",Prp19 complex,first spliceosomal transesterification activity,SNT309,YPR101W
3447,basic leucine zipper (bZIP) transcription factor,"transcription, DNA-templated",nucleus,DNA binding,YAP3,YHL009C
3448,"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy",mitochondrial genome maintenance,cytoplasm,double-stranded DNA binding,ACO1,YLR304C
3449,"Alpha-1,2-mannosyltransferase, catalyzes sequential addition of the two terminal alpha 1,2-mannose residues to the Man5GlcNAc2-PP-dolichol intermediate during asparagine-linked glycosylation in the ER",protein glycosylation,endoplasmic reticulum,"alpha-1,2-mannosyltransferase activity",ALG11,YNL048W
3450,Putative protein of unknown function; likely member of BLOC complex involved in endosomal cargo sorting; green fluorescent protein (GFP)-fusion protein localizes to endosomes,transport,endosome,molecular_function unknown,SNN1,YNL086W
3451,"Mitochondrial ATP-dependent RNA helicase of the DEAD-box family, plays an essential role in mitochondrial function",rRNA processing,mitochondrion,nucleotide binding,MRH4,YGL064C
3452,"DNA dependent ATPase/DNA helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors, localized to polysomes",regulation of translational termination,cytoplasm,nucleotide binding,ECM32,YER176W
3453,Putative protein of unknown function,biological_process unknown,plasma membrane,molecular_function unknown,FEX2,YPL279C
3454,Putative integral membrane E3 ubiquitin ligase; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signalling by maintaining the dormant repressed state of gene expression in the absence of inducing signals,ubiquitin-dependent protein catabolic process,nucleus,ubiquitin-protein transferase activity,ASI1,YMR119W
3455,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole,biological_process unknown,fungal-type vacuole,molecular_function unknown,YDL180W,YDL180W
3456,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; involved in telomere maintenance; conserved with other metazoan MED31 subunits,DNA repair,nucleus,RNA polymerase II transcription cofactor activity,SOH1,YGL127C
3457,"Essential 100kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis",transport,exocyst,molecular_function unknown,SEC10,YLR166C
3458,"Ferric reductase and cupric reductase, reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low iron levels but not by low copper levels",ion transport,fungal-type vacuole,ferric-chelate reductase activity,FRE2,YKL220C
3459,"Minor orotate phosphoribosyltransferase (OPRTase) isozyme that catalyzes the fifth enzymatic step in the de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; major OPRTase encoded by URA5",'de novo' pyrimidine nucleobase biosynthetic process,cytoplasm,orotate phosphoribosyltransferase activity,URA10,YMR271C
3460,"Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis, along with Pil1p and Sur7p; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family",negative regulation of protein kinase activity,cytoplasm,lipid binding,LSP1,YPL004C
3461,"G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)",regulation of cyclin-dependent protein serine/threonine kinase activity,nucleus,cyclin-dependent protein serine/threonine kinase regulator activity,CLN1,YMR199W
3462,"Transmembrane osmosensor involved in activation of the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol response pathway; phosphorylated by Hog1p; interacts with Pbs2p, Msb2p, Hkr1p, and Ste11p",cytokinesis,endoplasmic reticulum,osmosensor activity,SHO1,YER118C
3463,Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; localizes to the trans-Golgi network; likely involved in protein transport; type 4 P-type ATPase,response to pheromone involved in conjugation with cellular fusion,endoplasmic reticulum,nucleotide binding,DNF3,YMR162C
3464,Basic leucine zipper (bZIP) transcriptional activator of amino acid biosynthetic genes in response to amino acid starvation; expression is tightly regulated at both the transcriptional and translational levels,negative regulation of transcription from RNA polymerase II promoter,nuclear chromatin,RNA polymerase II core promoter proximal region sequence-specific DNA binding,GCN4,YEL009C
3465,Proton:glutathione antiporter localized to the vacuolar and plasma membranes; expressed at a very low level; almost identical to paralog Gex1p; potential role in resistance to oxidative stress and modulation of the PKA pathway,transport,endosome,antiporter activity,GEX2,YKR106W
3466,Membrane glycoprotein v-SNARE involved in retrograde transport from the Golgi to the ER; required for N- and O-glycosylation in the Golgi but not in the ER; interacts with the Dsl1p complex through Tip20p,transport,peroxisome,SNAP receptor activity,SEC20,YDR498C
3467,Putative protein of unknown function with similarity to helicases; YLL066C is not an essential gene,biological_process unknown,cellular_component unknown,nucleotide binding,YLL066C,YLL066C
3468,Putative alanine transaminase (glutamic pyruvic transaminase),biological_process unknown,nucleus,catalytic activity,ALT2,YDR111C
3469,Protein required for assembly of cytochrome c oxidase,mitochondrial respiratory chain complex IV assembly,mitochondrion,molecular_function unknown,PET117,YER058W
